road,id,model_type,name,lat,lon,length,chainage,condition
N1,200000,sourcesink,sourcesink,23.7060278,90.443333,0.0,0.0,
N1,200001,link,link 1,23.592875727776523,90.60132335027487,1800.0,0.9,
N1,200002,bridge,bridge 1,23.479723655553048,90.75931370054975,7.325,1.8,A
N1,200003,link,link 2,23.592391774060275,90.64126392345052,7176.0,5.388000000000001,
N1,200004,bridge,bridge 2,23.7050598925675,90.5232141463513,395.615,8.976,C
N1,200005,link,link 3,23.7007299897392,90.529156563228,1567.0,9.7595,
N1,200006,bridge,bridge 3,23.6964000869109,90.5350989801047,8.0,10.543,B
N1,200007,link,link 4,22.785687893585916,91.10752871355041,337.0,10.711500000000001,
N1,200008,bridge,bridge 4,21.874975700260933,91.67995844699611,2.9,10.88,A
N1,200009,link,link 5,22.784639043588367,91.10883290947936,17.0,10.8885,
N1,200010,bridge,bridge 5,23.6943023869158,90.5377073719626,6.3,10.897,A
N1,200011,link,link 6,23.693331269392452,90.5393128808411,399.0,11.096499999999999,
N1,200012,bridge,bridge 6,23.6923601518691,90.5409183897196,8.3,11.296,A
N1,200013,link,link 7,23.6916360416921,90.54319044273855,512.0,11.552,
N1,200014,bridge,bridge 7,23.6909119315151,90.5454624957575,10.6,11.808,B
N1,200015,link,link 8,23.68966212876775,90.54701051241955,431.0,12.0235,
N1,200016,bridge,bridge 8,23.6884123260204,90.5485585290816,9.3,12.239,A
N1,200017,link,link 9,23.6883660295918,90.5486041683673,14.0,12.246,
N1,200018,bridge,bridge 9,23.6883197331632,90.548649807653,6.1,12.253,A
N1,200019,link,link 10,23.686896117821902,90.54996669322821,407.0,12.4565,
N1,200020,bridge,bridge 10,23.6854725024806,90.5512835788034,27.1,12.66,A
N1,200021,link,link 11,23.6816380012403,90.55355150690166,914.0,13.117,
N1,200022,bridge,bridge 11,23.6778035,90.5558194349999,11.9,13.574,A
N1,200023,link,link 12,23.67055628480745,90.55983821489846,1891.0,14.5195,
N1,200024,bridge,bridge 12,23.6633090696149,90.563856994797,5.55,15.465,B
N1,200025,link,link 13,23.65886738736425,90.5702936098985,1669.0,16.299500000000002,
N1,200026,bridge,bridge 13,23.6544257051136,90.576730225,159.51,17.134,C
N1,200027,link,link 14,23.6537987002854,90.57775098494837,88.0,17.178,
N1,200028,bridge,bridge 14,23.6531716954572,90.57877174489673,20.308333333333334,17.222,B
N1,200029,link,link 15,23.651463047406,90.58166037672251,871.0,17.6575,
N1,200030,bridge,bridge 15,23.6497543993548,90.5845490085483,25.166666666666664,18.093,B
N1,200031,link,link 16,23.647861497135,90.5868804949521,649.0,18.4175,
N1,200032,bridge,bridge 16,23.6459685949152,90.5892119813559,40.39833333333333,18.742,C
N1,200033,link,link 17,23.6419614832268,90.5914396895241,1018.0,19.251,
N1,200034,bridge,bridge 17,23.6379543715384,90.5936673976923,6.0,19.76,A
N1,200035,link,link 18,23.6358797957692,90.59553074134615,637.0,20.0785,
N1,200036,bridge,bridge 18,23.63380522,90.597394085,10.4,20.397,B
N1,200037,link,link 19,23.6311360353846,90.59984782865385,787.0,20.7905,
N1,200038,bridge,bridge 19,23.6284668507692,90.6023015723077,88.905,21.184,A
N1,200039,link,link 20,23.624175036860002,90.6053272287768,1144.0,21.756,
N1,200040,bridge,bridge 20,23.6198832229508,90.6083528852459,5.5,22.328,B
N1,200041,link,link 21,23.61876200971065,90.60895174791705,268.0,22.462,
N1,200042,bridge,bridge 21,23.6176407964705,90.6095506105882,221.14166666666665,22.596,B
N1,200043,link,link 22,23.615614090427748,90.61022678336894,485.0,22.8385,
N1,200044,bridge,bridge 22,23.613587384385,90.6109029561497,119.05666666666667,23.081,B
N1,200045,link,link 23,23.60817348647165,90.61321732635861,1312.0,23.737000000000002,
N1,200046,bridge,bridge 23,23.6027595885583,90.6155316965675,912.425,24.393,C
N1,200047,link,link 24,23.5978707356738,90.6217508168297,1722.0,25.253999999999998,
N1,200048,bridge,bridge 24,23.5929818827893,90.6279699370919,5.6,26.115,A
N1,200049,link,link 25,23.59189536876805,90.62910339845101,337.0,26.2835,
N1,200050,bridge,bridge 25,23.5908088547468,90.6302368598101,5.5,26.452,A
N1,200051,link,link 26,23.588563488643402,90.6323731402597,668.0,26.786,
N1,200052,bridge,bridge 26,23.58631812254,90.6345094207093,5.6,27.12,A
N1,200053,link,link 27,23.58214907369375,90.6382143648516,1195.0,27.7175,
N1,200054,bridge,bridge 27,23.5779800248475,90.6419193089939,170.2375,28.315,A
N1,200055,link,link 28,23.574805325272,90.64366761633906,823.0,28.7265,
N1,200056,bridge,bridge 28,23.5716306256965,90.6454159236842,29.526666666666664,29.138,A
N1,200057,link,link 29,23.5688170106743,90.6470198242062,704.0,29.490000000000002,
N1,200058,bridge,bridge 29,23.5660033956521,90.6486237247282,34.7,29.842,A
N1,200059,link,link 30,23.56259721264085,90.65218564754925,1066.0,30.375,
N1,200060,bridge,bridge 30,23.5591910296296,90.6557475703703,26.85,30.908,B
N1,200061,link,link 31,23.55744965987805,90.6577444974636,564.0,31.19,
N1,200062,bridge,bridge 31,23.5557082901265,90.6597414245569,29.556666666666665,31.472,A
N1,200063,link,link 32,23.55372524042405,90.6620476499073,649.0,31.7965,
N1,200064,bridge,bridge 32,23.5517421907216,90.6643538752577,29.561666666666667,32.121,A
N1,200065,link,link 33,23.5497399676822,90.66670464253954,656.0,32.449,
N1,200066,bridge,bridge 33,23.5477377446428,90.6690554098214,9.1,32.777,A
N1,200067,link,link 34,22.928898269934674,91.05770392351475,19.0,32.786500000000004,
N1,200068,bridge,bridge 34,22.31005879522655,91.4463524372081,3.25,32.796,A
N1,200069,link,link 35,22.926372113238273,91.06059082485405,795.0,33.1935,
N1,200070,bridge,bridge 35,23.54268543125,90.6748292125,63.53,33.591,A
N1,200071,link,link 36,23.541038224025,90.67664350065,520.0,33.851,
N1,200072,bridge,bridge 36,23.5393910168,90.6784577888,5.1,34.111,C
N1,200073,link,link 37,23.5353953386611,90.68295335738,1297.0,34.7595,
N1,200074,bridge,bridge 37,23.5313996605222,90.68744892596,25.133333333333333,35.408,B
N1,200075,link,link 38,23.530775811586402,90.68862205484746,299.0,35.557500000000005,
N1,200076,bridge,bridge 38,23.5301519626506,90.6897951837349,8.4,35.707,A
N1,200077,link,link 39,23.530268217975298,90.69611772901746,1303.0,36.3585,
N1,200078,bridge,bridge 39,23.5303844733,90.7024402743,1408.8,37.01,C
N1,200079,link,link 40,23.53140153665,90.71336049885,2294.0,38.157,
N1,200080,bridge,bridge 40,23.5324186,90.7242807234,22.450000000000003,39.304,C
N1,200081,link,link 41,23.532088691599952,90.72672936645,556.0,39.582,
N1,200082,bridge,bridge 41,23.5317587831999,90.7291780095,6.0,39.86,B
N1,200083,link,link 42,23.53078192214995,90.74371562975,3076.0,41.397999999999996,
N1,200084,bridge,bridge 42,23.5298050611,90.75825325,16.5,42.936,C
N1,200085,link,link 43,23.530285294660402,90.76916648757665,2228.0,44.05,
N1,200086,bridge,bridge 43,23.5307655282208,90.7800797251533,3.9,45.164,C
N1,200087,link,link 44,23.5308169345816,90.785943621163,1707.0,46.0175,
N1,200088,bridge,bridge 44,23.5308683409424,90.7918075171727,6.5,46.871,C
N1,200089,link,link 45,23.5313459087212,90.80141151533635,1513.0,47.6275,
N1,200090,bridge,bridge 45,23.5318234765,90.8110155135,15.9,48.384,C
N1,200091,link,link 46,23.5323989028,90.82099649484995,2174.0,49.471000000000004,
N1,200092,bridge,bridge 46,23.5329743291,90.8309774761999,12.2,50.558,A
N1,200093,link,link 47,23.52794549715,90.83759804469994,1755.0,51.435500000000005,
N1,200094,bridge,bridge 47,23.5229166652,90.8442186132,4.5,52.313,C
N1,200095,link,link 48,23.5165022117035,90.85996950836764,3693.0,54.1595,
N1,200096,bridge,bridge 48,23.510087758207,90.8757204035353,28.9,56.006,C
N1,200097,link,link 49,23.508045096153502,90.88894747121765,2832.0,57.422,
N1,200098,bridge,bridge 49,23.5060024341,90.9021745389,5.9,58.838,B
N1,200099,link,link 50,23.505807787850003,90.91182028035,1992.0,59.834,
N1,200100,bridge,bridge 50,23.5056131416,90.9214660218,3.0,60.83,B
N1,200101,link,link 51,23.5040104632,90.9323539573,2268.0,61.964,
N1,200102,bridge,bridge 51,23.5024077848,90.9432418928,6.0,63.098,B
N1,200103,link,link 52,23.5018814886,90.94531315084996,440.0,63.318,
N1,200104,bridge,bridge 52,23.5013551924,90.9473844088999,3.0,63.538,A
N1,200105,link,link 53,23.4986257532,90.95948083024994,2640.0,64.858,
N1,200106,bridge,bridge 53,23.495896314,90.9715772516,4.6,66.178,B
N1,200107,link,link 54,23.4945845643,90.9801486466,1862.0,67.10900000000001,
N1,200108,bridge,bridge 54,23.4932728146,90.9887200416,4.5,68.04,A
N1,200109,link,link 55,23.4900767041627,91.0031433671235,3116.0,69.59800000000001,
N1,200110,bridge,bridge 55,23.4868805937254,91.017566692647,22.825000000000003,71.156,C
N1,200111,link,link 56,23.484333958515947,91.0319507888608,3123.0,72.7175,
N1,200112,bridge,bridge 56,23.4817873233065,91.0463348850746,4.6,74.279,B
N1,200113,link,link 57,23.48176857658745,91.05134492687941,1033.0,74.7955,
N1,200114,bridge,bridge 57,23.4817498298684,91.0563549686842,4.6,75.312,B
N1,200115,link,link 58,23.4811814579342,91.0618823689421,1169.0,75.8965,
N1,200116,bridge,bridge 58,23.480613086,91.0674097692,1.5,76.481,A
N1,200117,link,link 59,23.479142685550002,91.07607520425,1901.0,77.4315,
N1,200118,bridge,bridge 59,23.4776722851,91.0847406393,1.0,78.382,C
N1,200119,link,link 60,23.4778940950191,91.0958869233537,2567.0,79.66550000000001,
N1,200120,bridge,bridge 60,23.4781159049382,91.1070332074074,3.0,80.949,B
N1,200121,link,link 61,23.47876214650575,91.1154626449881,1488.0,81.693,
N1,200122,bridge,bridge 61,23.4794083880733,91.1238920825688,1.4,82.437,A
N1,200123,link,link 62,23.47947665603665,91.1264696132844,552.0,82.713,
N1,200124,bridge,bridge 62,23.479544924,91.129047144,2.9,82.989,A
N1,200125,link,link 63,23.4615894419136,91.13920697955939,4724.0,85.351,
N1,200126,bridge,bridge 63,23.4436339598272,91.1493668151188,23.125,87.713,C
N1,200127,link,link 64,23.432441365159498,91.15863057617764,3379.0,89.4025,
N1,200128,bridge,bridge 64,23.4212487704918,91.1678943372365,35.935,91.092,C
