Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
7,7,5,5,11,15,11,15,15,7
7,15,5,5,11,5,5,15,7,5
7,7,11,11,5,42,11,11,15,7
11,7,7,7,7,61,11,5,11,11
11,5,60,42,7,15,15,38,7,15
15,11,48,42,5,15,38,5,38,38
38,5,60,11,11,83,48,7,7,38
15,15,71,5,48,48,11,48,15,48
72,15,56,61,38,38,7,38,58,56
48,11,42,42,60,61,58,61,71,48
7,56,61,61,7,15,60,48,60,60
5,11,80,42,42,5,61,42,72,48
61,72,81,48,56,72,42,38,7,58
83,11,71,38,71,89,7,5,89,48
89,81,42,15,83,69,69,71,60,60
56,72,48,81,58,80,11,61,60,11
42,7,89,56,81,102,58,72,93,38
69,48,89,11,61,69,48,7,5,69
60,42,60,72,69,15,48,38,48,81
5,48,72,42,80,89,7,60,11,71
81,86,69,7,61,89,7,56,104,11
11,69,15,72,72,86,58,15,69,81
93,93,86,48,58,71,80,86,56,71
80,80,71,81,5,83,71,42,104,61
60,83,61,83,71,58,58,80,89,15
11,48,42,86,102,80,80,60,69,61
83,89,69,15,89,93,89,71,71,7
89,72,42,11,56,83,5,42,7,48
102,42,93,11,72,104,61,56,89,69
42,69,89,72,42,104,11,80,69,60
93,89,15,108,80,89,7,107,71,48
58,7,81,89,81,69,81,93,15,56
48,58,102,81,61,7,81,93,56,11
107,89,89,81,72,104,38,104,11,72
58,5,69,38,42,7,60,15,72,42
56,86,80,38,48,93,71,15,48,108
83,117,56,5,104,139,93,107,104,93
61,72,58,107,80,83,104,38,56,48
117,58,58,107,15,58,104,15,117,86
72,38,5,7,108,81,80,86,42,7
89,56,81,118,93,61,56,86,118,38
86,117,118,80,83,7,117,81,69,60
117,48,108,117,58,7,93,56,5,11
139,139,93,117,104,133,38,42,86,11
11,134,48,42,80,133,104,118,117,117
93,104,89,83,60,118,120,108,131,56
93,89,71,15,42,60,89,108,86,11
145,69,56,61,80,15,80,83,56,58
80,15,108,56,15,86,5,58,117,38
72,131,93,7,81,117,56,71,107,86
