Step,AgentID,Delay time,Driving time of cars leaving
819,200412,,"[['Truck141128', 798]]"
850,200000,,"[['Truck141135', 814]]"
870,200000,,"[['Truck141131', 844]]"
910,200000,,"[['Truck141123', 904]]"
915,200412,,"[['Truck141120', 914]]"
917,200000,,"[['Truck141161', 816]]"
918,200000,,"[['Truck141127', 902]]"
921,200412,,"[['Truck141124', 910]]"
929,200412,,"[['Truck141134', 893]]"
930,200000,,"[['Truck141125', 919]]"
939,200000,,"[['Truck141147', 873]]"
939,200412,,"[['Truck141158', 843]]"
944,200000,,"[['Truck141141', 893]]"
945,200000,,"[['Truck141121', 944]]"
952,200412,,"[['Truck141146', 886]]"
953,200412,,"[['Truck141130', 927]]"
955,200000,,"[['Truck141153', 874]]"
962,200412,,"[['Truck141136', 921]]"
964,200000,,"[['Truck141143', 908]]"
968,200412,,"[['Truck141142', 912]]"
972,200412,,"[['Truck141126', 956]]"
973,200412,,"[['Truck141140', 922], ['Truck141160', 872]]"
974,200412,,"[['Truck141122', 968]]"
983,200000,,"[['Truck141159', 887]]"
989,200000,,"[['Truck141133', 958]]"
993,200412,,"[['Truck141166', 877]]"
1004,200412,,"[['Truck141138', 958]]"
1005,200000,,"[['Truck141175', 869]]"
1011,200412,,"[['Truck141164', 900]]"
1012,200000,,"[['Truck141145', 951]]"
1017,200000,,"[['Truck141167', 901]]"
1017,200412,,"[['Truck141176', 876]]"
1018,200412,,"[['Truck141170', 892]]"
1027,200000,,"[['Truck141129', 1006]]"
1028,200412,,"[['Truck141162', 922]]"
1029,200412,,"[['Truck141150', 953]]"
1033,200000,,"[['Truck141137', 992]]"
1038,200412,,"[['Truck141132', 1007]]"
1039,200000,,"[['Truck141189', 868]]"
1040,200000,,"[['Truck141165', 929]]"
1043,200000,,"[['Truck141149', 972], ['Truck141187', 877]]"
1046,200000,,"[['Truck141171', 920]]"
1048,200000,,"[['Truck141151', 972], ['Truck141181', 897]]"
1050,200000,,"[['Truck141173', 919]]"
1051,200000,,"[['Truck141191', 875]]"
1054,200412,,"[['Truck141156', 963]]"
1055,200000,,"[['Truck141169', 934]]"
1067,200412,,"[['Truck141210', 841]]"
1069,200000,,"[['Truck141139', 1023]]"
1070,200000,,"[['Truck141195', 884]]"
1076,200000,,"[['Truck141157', 985]]"
1077,200000,,"[['Truck141177', 936]]"
1077,200412,,"[['Truck141196', 886]]"
1078,200000,,"[['Truck141197', 887]]"
1078,200412,,"[['Truck141152', 997]]"
1080,200412,,"[['Truck141148', 1009]]"
1081,200412,,"[['Truck141172', 950]]"
1087,200412,,"[['Truck141144', 1026]]"
1091,200412,,"[['Truck141178', 945], ['Truck141186', 925]]"
1101,200412,,"[['Truck141204', 890]]"
1102,200000,,"[['Truck141163', 996]]"
1104,200000,,"[['Truck141155', 1018]]"
1107,200000,,"[['Truck141209', 886]]"
1111,200000,,"[['Truck141213', 880]]"
1115,200412,,"[['Truck141182', 959]]"
1125,200000,,"[['Truck141247', 809]]"
1127,200000,,"[['Truck141179', 981], ['Truck141207', 911]]"
1129,200412,,"[['Truck141154', 1043]]"
1130,200412,,"[['Truck141168', 1009], ['Truck141214', 894], ['Truck141218', 884]]"
1132,200412,,"[['Truck141216', 891]]"
1135,200412,,"[['Truck141198', 939]]"
1138,200412,,"[['Truck141194', 952]]"
1144,200000,,"[['Truck141217', 903]]"
1144,200412,,"[['Truck141192', 963], ['Truck141202', 938]]"
1145,200412,,"[['Truck141174', 1009], ['Truck141212', 914]]"
1148,200000,,"[['Truck141255', 812]]"
1148,200412,,"[['Truck141206', 932]]"
1149,200412,,"[['Truck141238', 853], ['Truck141246', 833]]"
1151,200412,,"[['Truck141226', 885]]"
1152,200000,,"[['Truck141215', 916]]"
1154,200000,,"[['Truck141193', 973], ['Truck141199', 958]]"
1156,200412,,"[['Truck141236', 865]]"
1158,200000,,"[['Truck141245', 847]]"
1161,200000,,"[['Truck141235', 875]]"
1164,200412,,"[['Truck141184', 1003], ['Truck141240', 863]]"
1165,200000,,"[['Truck141201', 964]]"
1166,200000,,"[['Truck141211', 940]]"
1168,200000,,"[['Truck141233', 887]]"
1171,200000,,"[['Truck141203', 965]]"
1180,200000,,"[['Truck141221', 929]]"
1183,200412,,"[['Truck141188', 1012]]"
1184,200412,,"[['Truck141244', 873]]"
1185,200412,,"[['Truck141190', 1009]]"
1189,200000,,"[['Truck141219', 943]]"
1193,200412,,"[['Truck141252', 862]]"
1194,200412,,"[['Truck141200', 993]]"
1195,200000,,"[['Truck141257', 854]]"
1201,200000,,"[['Truck141205', 990]]"
1203,200412,,"[['Truck141180', 1052]]"
1206,200000,,"[['Truck141261', 855]]"
1207,200000,,"[['Truck141227', 941]]"
1208,200000,,"[['Truck141183', 1052]]"
1214,200412,,"[['Truck141248', 893]]"
1216,200000,,"[['Truck141249', 895]]"
1217,200000,,"[['Truck141223', 961]]"
1218,200000,,"[['Truck141225', 957]]"
1218,200412,,"[['Truck141220', 967], ['Truck141224', 957]]"
1219,200412,,"[['Truck141242', 913]]"
1221,200412,,"[['Truck141208', 1000]]"
1228,200000,,"[['Truck141259', 882]]"
1240,200000,,"[['Truck141241', 939]]"
1244,200412,,"[['Truck141254', 908]]"
1245,200412,,"[['Truck141250', 919]]"
1246,200000,,"[['Truck141237', 955]]"
1248,200412,,"[['Truck141264', 887]]"
1249,200412,,"[['Truck141228', 978]]"
1251,200000,,"[['Truck141229', 980]]"
1252,200412,,"[['Truck141260', 901]]"
1258,200000,,"[['Truck141239', 962]]"
1260,200000,,"[['Truck141253', 929]]"
1261,200000,,"[['Truck141231', 985]]"
